Post Office,Place 1,Place 2,Distance (in km)
Manila City,Adamson University 900  San Marcelino Street  Ermita  Manila City 1000  Metro Manila,Far Eastern University Nicanor Reyes Sr. St. Sampaloc Manila Sampaloc,2.7
Manila City,Adamson University 900  San Marcelino Street  Ermita  Manila City 1000  Metro Manila,De La Salle University Manila 2401 Taft Ave Malate Manila 1004 Metro Manila,2.8
Manila City,Adamson University 900  San Marcelino Street  Ermita  Manila City 1000  Metro Manila,University of the East Manila Campus 2219 Recto Ave Sampaloc Manila 1008 Metro Manila,2.9
Manila City,Adamson University 900  San Marcelino Street  Ermita  Manila City 1000  Metro Manila,University of Santo Tomas España Blvd Sampaloc Manila Metro Manila,3.3
Manila City,Adamson University 900  San Marcelino Street  Ermita  Manila City 1000  Metro Manila,Polytechnic University of the Philippines Anonas Santa Mesa Manila Metro Manila,4.2
Manila City,De La Salle University Manila 2401 Taft Ave Malate Manila 1004 Metro Manila,University of Santo Tomas España Blvd Sampaloc Manila Metro Manila,7.3
Manila City,De La Salle University Manila 2401 Taft Ave Malate Manila 1004 Metro Manila,Polytechnic University of the Philippines Anonas Santa Mesa Manila Metro Manila,7.3
Manila City,Far Eastern University Nicanor Reyes Sr. St. Sampaloc Manila Sampaloc,University of Santo Tomas España Blvd Sampaloc Manila Metro Manila,0.5
Manila City,Far Eastern University Nicanor Reyes Sr. St. Sampaloc Manila Sampaloc,Polytechnic University of the Philippines Anonas Santa Mesa Manila Metro Manila,3.1
Manila City,Far Eastern University Nicanor Reyes Sr. St. Sampaloc Manila Sampaloc,De La Salle University Manila 2401 Taft Ave Malate Manila 1004 Metro Manila,5.3
Manila City,Lyceum of the Philippines University Manila Campus Muralla St Intramuros Manila 1002 Metro Manila,Mapúa University 658 Muralla St Intramuros Manila 1002 Metro Manila,0.29
Manila City,Lyceum of the Philippines University Manila Campus Muralla St Intramuros Manila 1002 Metro Manila,Adamson University 900  San Marcelino Street  Ermita  Manila City 1000  Metro Manila,2.2
Manila City,Lyceum of the Philippines University Manila Campus Muralla St Intramuros Manila 1002 Metro Manila,University of the Philippines Manila Padre Faura St Ermita Manila 1000 Metro Manila,2.3
Manila City,Lyceum of the Philippines University Manila Campus Muralla St Intramuros Manila 1002 Metro Manila,University of the East Manila Campus 2219 Recto Ave Sampaloc Manila 1008 Metro Manila,3.9
Manila City,Lyceum of the Philippines University Manila Campus Muralla St Intramuros Manila 1002 Metro Manila,De La Salle University Manila 2401 Taft Ave Malate Manila 1004 Metro Manila,4
Manila City,Lyceum of the Philippines University Manila Campus Muralla St Intramuros Manila 1002 Metro Manila,Far Eastern University Nicanor Reyes Sr. St. Sampaloc Manila Sampaloc,4.1
Manila City,Lyceum of the Philippines University Manila Campus Muralla St Intramuros Manila 1002 Metro Manila,University of Santo Tomas España Blvd Sampaloc Manila Metro Manila,4.7
Manila City,Lyceum of the Philippines University Manila Campus Muralla St Intramuros Manila 1002 Metro Manila,Polytechnic University of the Philippines Anonas Santa Mesa Manila Metro Manila,6.5
Manila City,Manila City Post Office,Lyceum of the Philippines University Manila Campus Muralla St Intramuros Manila 1002 Metro Manila,1.2
Manila City,Manila City Post Office,Mapúa University 658 Muralla St Intramuros Manila 1002 Metro Manila,1.3
Manila City,Manila City Post Office,University of the Philippines Manila Padre Faura St Ermita Manila 1000 Metro Manila,2.3
Manila City,Manila City Post Office,Adamson University 900  San Marcelino Street  Ermita  Manila City 1000  Metro Manila,2.6
Manila City,Manila City Post Office,University of the East Manila Campus 2219 Recto Ave Sampaloc Manila 1008 Metro Manila,3.7
Manila City,Manila City Post Office,Far Eastern University Nicanor Reyes Sr. St. Sampaloc Manila Sampaloc,4
Manila City,Manila City Post Office,De La Salle University Manila 2401 Taft Ave Malate Manila 1004 Metro Manila,4.1
Manila City,Manila City Post Office,University of Santo Tomas España Blvd Sampaloc Manila Metro Manila,4.6
Manila City,Manila City Post Office,Polytechnic University of the Philippines Anonas Santa Mesa Manila Metro Manila,5.8
Manila City,Mapúa University 658 Muralla St Intramuros Manila 1002 Metro Manila,Adamson University 900  San Marcelino Street  Ermita  Manila City 1000  Metro Manila,2.3
Manila City,Mapúa University 658 Muralla St Intramuros Manila 1002 Metro Manila,University of the Philippines Manila Padre Faura St Ermita Manila 1000 Metro Manila,2.5
Manila City,Mapúa University 658 Muralla St Intramuros Manila 1002 Metro Manila,University of the East Manila Campus 2219 Recto Ave Sampaloc Manila 1008 Metro Manila,4.1
Manila City,Mapúa University 658 Muralla St Intramuros Manila 1002 Metro Manila,Far Eastern University Nicanor Reyes Sr. St. Sampaloc Manila Sampaloc,4.3
Manila City,Mapúa University 658 Muralla St Intramuros Manila 1002 Metro Manila,De La Salle University Manila 2401 Taft Ave Malate Manila 1004 Metro Manila,4.3
Manila City,Mapúa University 658 Muralla St Intramuros Manila 1002 Metro Manila,University of Santo Tomas España Blvd Sampaloc Manila Metro Manila,4.9
Manila City,Mapúa University 658 Muralla St Intramuros Manila 1002 Metro Manila,Polytechnic University of the Philippines Anonas Santa Mesa Manila Metro Manila,7
Manila City,University of Santo Tomas España Blvd Sampaloc Manila Metro Manila,Polytechnic University of the Philippines Anonas Santa Mesa Manila Metro Manila,3
Manila City,University of the East Manila Campus 2219 Recto Ave Sampaloc Manila 1008 Metro Manila,Far Eastern University Nicanor Reyes Sr. St. Sampaloc Manila Sampaloc,0.5
Manila City,University of the East Manila Campus 2219 Recto Ave Sampaloc Manila 1008 Metro Manila,University of Santo Tomas España Blvd Sampaloc Manila Metro Manila,0.75
Manila City,University of the East Manila Campus 2219 Recto Ave Sampaloc Manila 1008 Metro Manila,Polytechnic University of the Philippines Anonas Santa Mesa Manila Metro Manila,2.6
Manila City,University of the East Manila Campus 2219 Recto Ave Sampaloc Manila 1008 Metro Manila,De La Salle University Manila 2401 Taft Ave Malate Manila 1004 Metro Manila,5
Manila City,University of the Philippines Manila Padre Faura St Ermita Manila 1000 Metro Manila,University of the East Manila Campus 2219 Recto Ave Sampaloc Manila 1008 Metro Manila,3
Manila City,University of the Philippines Manila Padre Faura St Ermita Manila 1000 Metro Manila,University of Santo Tomas España Blvd Sampaloc Manila Metro Manila,3.4
Manila City,University of the Philippines Manila Padre Faura St Ermita Manila 1000 Metro Manila,Far Eastern University Nicanor Reyes Sr. St. Sampaloc Manila Sampaloc,4.2
Manila City,University of the Philippines Manila Padre Faura St Ermita Manila 1000 Metro Manila,Adamson University 900  San Marcelino Street  Ermita  Manila City 1000  Metro Manila,5
Manila City,University of the Philippines Manila Padre Faura St Ermita Manila 1000 Metro Manila,De La Salle University Manila 2401 Taft Ave Malate Manila 1004 Metro Manila,5.4
Manila City,University of the Philippines Manila Padre Faura St Ermita Manila 1000 Metro Manila,Polytechnic University of the Philippines Anonas Santa Mesa Manila Metro Manila,6
Quezon City,Quezon City Post Office,University of the Philippines Diliman Diliman Quezon City Metro Manila,3.8
Quezon City,Quezon City Post Office,Ateneo de Manila University Katipunan Ave Quezon City 1108 Metro Manila,3.4
Quezon City,Quezon City Post Office,UERM Memorial Hospital 64 Aurora Blvd Doña Imelda Quezon City Metro Manila,10.7
Quezon City,Quezon City Post Office,Polytechnic University Of The Philippines Quezon City Branch Don Fabian Quezon City 1121 Metro Manila,11.1
Quezon City,Quezon City Post Office,Grace Christian College Grace Ave Balintawak Quezon City Metro Manila,10.9
Quezon City,Quezon City Post Office,Miriam College Higher Education Unit Quezon City 1108 Metro Manila,5.8
Quezon City,Quezon City Post Office,AMA Computer University Inc. Maximina St. Villa Arca Subd. Proj. 8 Quezon City,8.4
Quezon City,University of the Philippines Diliman Diliman Quezon City Metro Manila,Ateneo de Manila University Katipunan Ave Quezon City 1108 Metro Manila,5.9
Quezon City,University of the Philippines Diliman Diliman Quezon City Metro Manila,UERM Memorial Hospital 64 Aurora Blvd Doña Imelda Quezon City Metro Manila,11.6
Quezon City,University of the Philippines Diliman Diliman Quezon City Metro Manila,Polytechnic University Of The Philippines Quezon City Branch Don Fabian Quezon City 1121 Metro Manila,8.4
Quezon City,University of the Philippines Diliman Diliman Quezon City Metro Manila,Grace Christian College Grace Ave Balintawak Quezon City Metro Manila,11.7
Quezon City,University of the Philippines Diliman Diliman Quezon City Metro Manila,Miriam College Higher Education Unit Quezon City 1108 Metro Manila,6.8
